Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
D,C,D,C,C,D,D,B,C,D
A,A,D,D,C,A,C,D,A,D
D,A,D,D,A,D,D,C,B,D
D,A,C,A,A,A,A,C,C,A
C,D,D,D,D,D,A,B,C,A
B,C,A,C,C,A,A,D,B,C
A,A,C,D,D,C,D,D,A,C
B,A,A,C,C,C,A,B,A,D
A,A,D,A,A,A,A,C,A,D
C,B,C,D,A,B,A,A,A,A
A,A,D,C,C,A,A,C,A,D
C,B,D,A,A,C,A,A,A,B
D,A,A,B,B,A,D,C,D,A
C,A,A,A,A,A,A,A,C,D
D,A,D,C,C,D,C,B,D,D
A,C,C,C,C,A,C,A,B,C
D,C,A,C,A,B,C,A,D,A
A,C,D,C,B,A,C,D,D,C
D,D,B,A,A,D,C,C,A,C
