Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
B,A,D,D,A,A,A,C,A,A
D,A,C,A,D,D,D,A,A,D
C,C,A,A,A,C,A,D,C,D
C,C,D,A,D,C,C,C,D,D
D,C,A,B,C,B,A,C,D,A
C,A,D,C,D,C,A,C,C,A
A,C,C,C,D,D,C,D,D,C
A,B,A,C,C,A,C,D,A,C
B,A,D,B,B,D,D,C,C,A
A,D,C,D,C,A,D,B,D,A
A,A,B,A,C,A,A,A,A,A
D,B,A,C,A,A,A,A,D,D
C,A,A,C,C,C,D,D,D,B
C,D,B,A,C,A,D,A,B,A
D,C,A,D,C,D,D,A,C,A
C,A,D,C,A,A,B,D,A,D
