Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
A,B,B,C,C,D,D,B,A,D
B,B,B,B,A,C,B,D,C,A
C,C,A,B,C,B,C,D,D,B
B,D,B,B,B,B,A,B,A,B
B,D,C,B,B,B,C,B,B,D
B,B,B,B,B,A,B,B,B,B
C,D,B,A,D,B,B,C,C,B
C,A,D,C,D,C,B,D,C,B
A,B,D,D,B,A,A,B,D,C
D,A,D,B,B,C,A,B,A,A
D,A,B,C,B,B,B,C,B,B
B,B,D,D,C,B,C,B,B,A
C,C,D,B,D,A,B,D,D,C
B,B,C,A,D,B,D,B,B,C
B,C,A,B,B,B,A,B,A,A
